"","GSM8093099_E2477-1_PrimeView_.CEL","GSM8093100_E2477-2_PrimeView_.CEL","GSM8093101_E2477-3_PrimeView_.CEL","GSM8093102_E2478-1_PrimeView_.CEL","GSM8093103_E2478-2_PrimeView_.CEL","GSM8093104_E2478-3_PrimeView_.CEL"
"TMEM211",5.3147895308165,5.81687495662965,5.55410560071475,5.50562688701239,5.3198693685808,5.55895146766146
"PYGO1",5.52775495416681,5.46203557940011,5.62540228822583,5.69025718771732,5.64509210869908,5.84860739094671
"DBET /// DUX4 /// DUX4L1 /// DUX4L10 /// DUX4L11 /// DUX4L12 /// DUX4L13 /// DUX4L14 /// DUX4L15 /// DUX4L2 /// DUX4L20 /// DUX4L21 /// DUX4L22 /// DUX4L23 /// DUX4L24 /// DUX4L25 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8",7.66587433505443,7.49688247786526,7.51336220080572,7.42113444362407,7.44148520528439,7.53865325657038
"DBET /// DUX4 /// DUX4L1 /// DUX4L10 /// DUX4L11 /// DUX4L12 /// DUX4L13 /// DUX4L14 /// DUX4L15 /// DUX4L2 /// DUX4L20 /// DUX4L21 /// DUX4L22 /// DUX4L23 /// DUX4L24 /// DUX4L25 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8",7.8307808045811,7.69268108485441,7.87348757174385,7.81158390732165,7.75501465852388,7.8439882548759
"DBET /// DUX4 /// DUX4L1 /// DUX4L10 /// DUX4L11 /// DUX4L12 /// DUX4L13 /// DUX4L14 /// DUX4L15 /// DUX4L2 /// DUX4L20 /// DUX4L21 /// DUX4L22 /// DUX4L23 /// DUX4L24 /// DUX4L25 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8",7.59872031887979,7.52798362742078,7.63342773074518,7.64867532203963,7.59689109352778,7.52192373522936
"DBET /// DUX4 /// DUX4L1 /// DUX4L10 /// DUX4L11 /// DUX4L12 /// DUX4L13 /// DUX4L14 /// DUX4L15 /// DUX4L2 /// DUX4L20 /// DUX4L21 /// DUX4L22 /// DUX4L23 /// DUX4L24 /// DUX4L25 /// DUX4L3 /// DUX4L4 /// DUX4L5 /// DUX4L6 /// DUX4L7 /// DUX4L8",7.73140929992593,7.7678673514979,7.69872661963224,7.77667697958843,7.70925145953375,7.70126331276781
"TCEAL1",10.4171876394772,10.4281381382812,10.3743704190441,10.4909022637112,10.5069212038405,10.5463850592371
"ATP13A5",4.60124407575245,4.54291424204125,4.41070495181709,4.46032231841697,4.32866759830956,4.45721352969984
"HIST2H2AC",3.66591669638693,3.38092434332973,3.48875036305259,3.67222492977534,3.70524385074396,3.70502690078806
"PSG4",7.15578935535821,6.75128115348835,7.36923513602873,8.28306222730309,8.89047725027029,7.68506502824183
"PSG4",7.15578935535821,6.75128115348835,7.36923513602873,8.28306222730309,8.89047725027029,7.68506502824183
"WDFY4",4.90271509927828,4.72887954457328,4.80530158440213,4.87362235154056,4.96062780547259,4.80530158440213
"CLCN6",5.66732187042966,5.49438563203536,5.37175642024774,5.96126312870499,6.11832349382359,6.14991277308943
"SCAND1",10.4569777683224,10.4254715588854,10.4074804712367,10.4219228870539,10.4080725439135,10.4266112331282
"PNMAL1",4.15823431942042,3.96894069854046,4.42713721758088,4.02140707387627,3.70742350343501,3.82968000136323
"ZNF680",6.1958279411844,5.92092776606049,6.18598973972542,5.3835292615599,5.51139148534335,5.15399441001332
