"X","GSM8093099_E2477.1_PrimeView_.CEL","GSM8093100_E2477.2_PrimeView_.CEL","GSM8093101_E2477.3_PrimeView_.CEL","GSM8093102_E2478.1_PrimeView_.CEL","GSM8093103_E2478.2_PrimeView_.CEL","GSM8093104_E2478.3_PrimeView_.CEL"
"MYOF",11.7314102567663,11.7216062521402,11.6712147455955,12.0704930464939,12.0927466136299,12.0932108658447
"MYOG",4.63282115510614,4.48595198549512,4.6705536273595,4.81534920003547,4.79094258687903,4.73268859761363
"MYOM1",4.27671282573072,4.2053984346259,4.267970095637,4.38417891789581,4.18686107374307,4.23764868987544
"MYOM2",5.49903872277792,5.52371470438077,5.59711569126268,5.87845169474045,5.92252927293913,6.07351992350902
"MYOM3",4.30145576335302,4.1902752300845,4.23479739358075,4.03508821091706,4.10315657533323,4.12901427549403
"MYOT",3.21280027181215,3.09163437657699,3.32460305366703,3.24666375594798,3.14305723834404,3.27721408273584
"MYOZ1",6.97628447283045,7.00171154019912,7.11211226003319,7.11252270832089,6.97797960384666,6.86229364457457
"MYOZ2",3.37633143279808,3.31422009442465,3.39274004709851,3.83430110054582,3.86664633528769,3.67166583588814
"MYOZ3",5.74401978947914,5.72388956690943,5.80554936048744,5.76115741402781,5.6481574111777,5.76661647847095
"MYPN",5.67650956336193,5.65841051320596,5.79053021168046,8.02019291702129,7.95279868371047,7.82465697791258
"MYPOP",6.6098543049315,6.62903082035997,6.68765168742228,6.41575846114869,6.23961130008617,6.32037891691303
"MYRF",6.11572186517047,6.1235776006043,6.17574619280185,5.75422414237602,5.73245751504479,5.61808628014091
"MYRFL",3.50766885850747,3.63322274250512,3.50930002925938,3.51419354151512,3.43224206294302,3.44148199047909
"MYRIP",3.76355781652351,3.74755309356526,3.74174813307125,3.8582954602829,3.74254257736262,3.81585174795873
"MYSM1",5.9655864106711,5.83763472668346,5.9577010071391,7.90756663712911,7.99493486025828,7.80562164451202
"MYT1",4.64847386239583,4.53590093647218,4.82328686741397,4.79044258476503,4.70311562437645,4.60821931005394
"MYT1L",3.87812316937447,3.9217962376526,4.22914037245806,4.01319034521409,3.70381051672888,4.15434344666854
"MYZAP",4.90029333002697,4.68440375669434,4.93087978594562,4.70839677380797,4.58053235665973,4.79887950444873
"MZB1",3.35263413219888,3.26389769580952,3.12186005297084,3.46792894736009,3.46552373793291,3.20081274211867
"MZF1",6.84943299718111,6.87230570843345,6.98053981726006,6.74529177767846,6.74482616407181,6.75582616289277
"MZT1",10.172089983861,10.1793780450219,10.1322453932582,9.30629868872397,9.29656828742009,9.24779965642848
"MZT2A",9.70794480015562,9.73927182073446,9.65338032971355,9.0848876157574,9.06513283993641,9.05411978390009
"MZT2A /// MZT2B",8.92203238995211,8.94322457030397,8.79374635041686,8.09667215920314,8.24428679589731,8.22164858231134
"MZT2B /// PHGDH",12.0372083307342,11.9713780146231,12.0173460374592,11.4891407543899,11.5199332009285,11.5638128480303
"N4BP1",8.04550175060274,8.03479585080072,8.02196356055618,7.94994918763202,7.98799216058085,8.08872950448985
"N4BP2",5.43083180958399,5.49529479255346,5.26057724590159,6.35953593334668,6.47141536375054,6.40676333929725
"N4BP2L1",3.99114485540923,4.02833303692102,4.21214945991349,4.08385315811822,4.17457072641531,4.24437209811847
"N4BP2L2",7.29964166906226,7.262804912592,7.22387627978936,7.73315405423201,7.74667156096506,7.73928472065333
"N4BP3",4.79207152909009,4.83249757818867,4.87841031284867,4.89885813420142,4.72017879385055,4.86330123070244
"N6AMT1",6.37166909071312,6.48448878119964,6.3450537579331,6.53399830577279,6.63130741980595,6.76623952636828
"N6AMT2",7.33283912532225,7.32199152423783,7.29114370986405,7.27720293426564,7.16782518514951,7.33688510261333
"NAA10",5.33492606733592,5.37219587983758,5.38422436256899,5.33364918090943,5.2610285248734,5.3113939935739
"NAA11",3.89511410358675,3.78958449020395,3.96765630920704,3.90558600061824,3.59345828664139,3.72693247984647
"NAA15",7.50599085902327,7.57583104920968,7.505949242747,7.74620927544031,7.76053482627922,7.7078275591071
"NAA16",6.25955249047768,6.25816047048516,6.25012408379666,6.94823672895779,7.08219200876453,6.95921175246768
"NAA20",11.3167604657744,11.428629871654,11.4065582254638,11.0961802506662,11.1171925628302,11.0651930814595
"NAA25",8.37080011240156,8.37713978232972,8.39093591755799,9.17314530915085,9.1813249472768,9.14894673229053
"NAA30",7.32981246510356,7.33445935656129,7.28587380371485,7.89060051187774,7.98479242833499,8.01561375570556
"NAA35",8.32129736221674,8.44818639627947,8.36706180889538,8.96782598703578,9.06847078917996,8.9445037402753
"NAA38",11.1070969612261,11.1449932088015,11.0732035964021,10.474526749479,10.5076080121503,10.5034198976125
"NAA40",7.47337117588058,7.49262630465734,7.41123889376235,6.84462454828016,6.96069840731719,6.99465343556579
"NAA50",10.47065370105,10.5215667058115,10.4826433452212,10.0310002353275,10.0727444553346,10.0176230985627
"NAA60",7.14696605294449,7.16456811214661,7.19472908887542,7.38234201775933,7.46410055241808,7.59695811866681
"NAAA",4.77787241169347,4.67197628165765,4.83432130522795,4.32313270938695,4.20860981594323,4.26748401568623
"NAALAD2",3.69623814630857,3.66466448161417,3.75543346144091,3.95211430715081,3.89552488034498,3.87455081386336
"NAALADL1",5.14418494012529,5.16327267168911,5.12217052424449,4.9107109119854,5.01648506943569,4.99588585910005
"NAALADL2",3.07368084347891,3.16503281838526,3.17006302605009,3.33800526372168,3.16370213558612,3.22932904011778
"NAB1",8.10068476155659,8.10021372912726,8.07657419918667,7.60381759288808,7.65643022922058,7.62389548352992
"NAB2",7.25523490344987,7.14410148440641,7.25112718432484,7.01167821686204,7.05736082245988,6.92411968261013
"NABP1",7.51502421251782,7.49820242902876,7.44118086043226,9.96058034284894,9.95435191744211,9.95153020135491
"NABP2",8.9195370937193,8.89856645634552,8.93255901251796,8.77349913487347,8.76975087260595,8.76291890032146
"NACA",12.6562062656753,12.6705870276237,12.6595147099269,12.6490362067015,12.6642893254209,12.6543694215612
"NACA2",12.6671748564548,12.7002924751548,12.6735895374914,12.7119075694271,12.6717580582609,12.6498904086509
"NACAD",5.00471960609079,5.14709752992946,4.81435728042352,4.82612790601199,4.96470648315615,5.05403625874623
"NACAP1",3.30512756939659,3.23378996340952,3.29281970934262,3.1732738502752,3.18001723328356,3.18227051752575
"NACC1",5.54902628926144,5.55290892362494,5.38026400811438,5.39880971310395,5.34204505493187,5.35144802113881
"NACC2",6.01447832094936,6.03220702984017,5.96152693952226,6.00529680126327,5.96705263768639,6.18855614083276
"NADK",8.25244388427403,8.34808296018263,8.3060613014083,7.58389541443647,7.61134128721033,7.700536230259
"NADK2",7.22974351791408,7.21502027201001,7.20077822579872,6.40360150723747,6.50535953551532,6.55940651376613
