"","GSM8093099_E2477.1_PrimeView_.CEL","GSM8093100_E2477.2_PrimeView_.CEL","GSM8093101_E2477.3_PrimeView_.CEL","GSM8093102_E2478.1_PrimeView_.CEL","GSM8093103_E2478.2_PrimeView_.CEL","GSM8093104_E2478.3_PrimeView_.CEL"
"BIK",7.26454108628362,7.18532396379148,7.28599626773112,9.65667993411275,9.64940588239195,9.68058903818044
"ABL2",7.50250673813149,7.41807418033816,7.44181342007592,9.8693982082371,9.92880339752827,9.94377738164609
"NFIL3",7.81871151343542,7.88400368165858,7.84727940067287,10.3283426363556,10.4220144062673,10.4239409861043
"DIO2",4.41913861456281,4.29226923330622,4.34323358312646,7.23925788069804,7.25686883490583,7.34164984222605
"ERRFI1",10.6680628483125,10.7460867815093,10.7051832850798,12.9687106664521,12.9215671447771,12.9376865485867
"TUFT1",7.05734541726091,6.97466170187564,6.96775473972266,9.43174642278457,9.45962796202999,9.50024526085814
"ZNF627",7.01382398236223,7.0625245435548,7.06577929380958,9.08183307062794,9.07182956519318,9.0961496706047
"MCTP1",7.30878144641834,7.31385324807459,7.28852203204127,9.20598621874808,9.19889100807536,9.21914489838258
"GPCPD1",6.49945013736204,6.41071301086644,6.49142268585562,9.01751787878844,9.0071130120163,9.09319575372608
"TRAF1",4.61613062499877,4.61790288173275,4.80991078790958,8.43429570240072,8.5211237468428,8.55495664608614
"SETX",8.36371145497082,8.36708593109445,8.32140557410651,10.6357207548165,10.7291410291698,10.7089652858333
"SGK1",7.54436115684946,7.4455241465144,7.42548364417224,9.98756751303393,9.96038250044389,9.98649763581778
"SLC3A2",10.7722078337141,10.7640070745268,10.7449002400461,12.6351224363814,12.6497523573434,12.6539358884361
"ETS1",8.82151713046354,8.80038917716553,8.77411970183808,10.7679880314201,10.7575926748338,10.7877886195612
"TMEM40",8.67787669544239,8.7668998619567,8.68389848714611,11.0306316999758,11.0844024254202,11.0634885810135
"ENO3",6.31342717146888,6.43536150118011,6.5014961086543,9.85874678934572,9.98535056344615,9.91189774326672
