"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"WNT5A",0.440746119306523,4.59399321020565,9.01895963989824,3.62866609788682e-05,0.000117092111037852,1.58555889855854
"REXO4",-0.400092991826202,8.15244217261733,-9.01630054311712,3.63579182458173e-05,0.000117303201614296,1.58335242909871
"GPR176",-0.334331054852974,9.00045346845518,-9.01541946268062,3.63815638657733e-05,0.000117360637436587,1.58262120360286
"GRHPR",0.35348807586913,10.6854296567689,9.01254381396131,3.64588587194304e-05,0.000117591090175211,1.58023422784353
"SCLY",-0.396586790730659,6.53688800081909,-9.01041792113665,3.65161199785727e-05,0.000117756864747857,1.57846918488319
"CCDC124",-0.317130857932218,8.66906985517357,-9.00442537887851,3.66780771685667e-05,0.000118260154415395,1.57349192625076
"C9orf72",-0.456385913874706,7.03346399493216,-9.00404935090303,3.66882668748984e-05,0.000118274021174231,1.57317951342173
"LRRC16A",0.799760538412693,5.74409676726821,8.99866077133257,3.68346395668695e-05,0.000118726833744344,1.56870134570699
"KIF5B",-0.292806466570704,10.0815726100975,-8.99830067171896,3.68444446041569e-05,0.000118739381487466,1.56840200502467
"RUVBL2",0.363610934860937,9.24060977246111,8.99717027460343,3.68752429693968e-05,0.000118819569997973,1.56746227202016
"SUB1",0.282360539451791,9.86290383058348,8.99372295479031,3.696934689733e-05,0.000119103683523576,1.56459579647243
"TMEM185A",0.522393606986529,7.54533505096122,8.99293158867091,3.69909876123178e-05,0.000119154289527793,1.56393763804217
"UPRT",-0.40428233241806,7.91087196014442,-8.99149915129972,3.7030195448343e-05,0.000119261456925036,1.5627461932099
"SLC2A8",0.489918589615329,7.62048386893689,8.99086408125431,3.70475932190613e-05,0.000119298358539623,1.56221791579772
"ALKBH5",0.351039729756584,8.39651818518839,8.98736700187749,3.71435612873887e-05,0.000119588214956062,1.55930833719543
"HLA-L",-0.540419207746842,4.63147812682076,-8.98487481073576,3.72121240938019e-05,0.000119789758022106,1.5572342452902
"SKP1",0.378794026171937,7.46357881174892,8.98380050884808,3.72417233212776e-05,0.000119865828715471,1.5563400226235
"TLDC1",-0.334203059794786,8.38533617891809,-8.98191836290974,3.72936443957572e-05,0.000120009610397679,1.55477315288612
"CUTA",0.355368040206733,10.9738087235282,8.98174806247721,3.72983463504439e-05,0.000120009610397679,1.55463136563366
"PRKACA",0.448206319366992,6.1664459314661,8.97842298665154,3.73902851059846e-05,0.000120286158268236,1.55186254863516
"DBNDD1",0.339848267065155,6.56408458965641,8.97206699288573,3.75667417758913e-05,0.000120834471785234,1.54656745574887
"ZBTB2",-0.296512906087405,7.79018720776746,-8.97174165293789,3.75757991974681e-05,0.000120844251574371,1.54629633435768
"DDX49",-0.585315384146584,8.59284012816681,-8.96507839446747,3.77618466842831e-05,0.00012142313941837,1.54074169780056
"DKK1",-0.279461853903701,12.3991703627098,-8.96330851974169,3.78114386530356e-05,0.000121563139732282,1.53926570715016
"WDR3",-0.294346224803762,8.45734230238215,-8.96211086345838,3.78450387339686e-05,0.000121651689810023,1.53826677992678
"LOC150776 /// SMPD4",0.343629165008478,9.7941066487066,8.95740315677851,3.79774397428647e-05,0.000122057753207824,1.5343391404911
"FAM221A",-0.422374243129739,3.81109851896043,-8.95147776451949,3.81448310205455e-05,0.000122558733858921,1.52939311369813
"MTURN",0.375108282041542,5.67494557472503,8.95145339829069,3.81455210790737e-05,0.000122558733858921,1.52937276909593
"TIMM17A",-0.317424438494447,8.84633381199323,-8.95088250259711,3.81616930401927e-05,0.000122591081736921,1.52889608593283
"HFE",0.611195185717331,5.97777943698593,8.94663829872642,3.82821629599746e-05,0.000122958413703523,1.52535148239988
"SYNJ2",-0.448793552774066,5.44070501665505,-8.94553443830114,3.83135658587033e-05,0.000123039599729165,1.52442934661688
"CCDC85B",-0.329668609962436,7.57764906155563,-8.94486086944714,3.83327419961534e-05,0.000123062067486056,1.52386661795727
